Datetime,target_volatility
2020-06-23 14:00:00,33.64
2020-06-23 14:30:00,33.64
2020-06-23 15:00:00,33.64
2020-06-23 15:30:00,33.64
2020-06-23 16:00:00,35.38
2020-06-24 09:30:00,35.38
2020-06-24 10:00:00,35.38
2020-06-24 10:30:00,35.38
2020-06-24 11:00:00,35.38
2020-06-24 11:30:00,35.38
2020-06-24 12:00:00,35.38
2020-06-24 12:30:00,35.38
2020-06-24 13:00:00,35.38
2020-06-24 13:30:00,35.38
2020-06-24 14:00:00,35.38
2020-06-24 14:30:00,35.38
2020-06-24 15:00:00,35.38
2020-06-24 15:30:00,35.38
2020-06-24 16:00:00,33.48
2020-06-25 09:30:00,33.48
2020-06-25 10:00:00,33.48
2020-06-25 10:30:00,33.48
2020-06-25 11:00:00,33.48
2020-06-25 11:30:00,33.48
2020-06-25 12:00:00,33.48
2020-06-25 12:30:00,33.48
2020-06-25 13:00:00,33.48
2020-06-25 13:30:00,33.48
2020-06-25 14:00:00,33.48
2020-06-25 14:30:00,33.48
2020-06-25 15:00:00,33.48
2020-06-25 15:30:00,33.48
2020-06-25 16:00:00,35.71
2020-06-26 09:30:00,35.71
2020-06-26 10:00:00,35.71
2020-06-26 10:30:00,35.71
2020-06-26 11:00:00,35.71
2020-06-26 11:30:00,35.71
2020-06-26 12:00:00,35.71
2020-06-26 12:30:00,35.71
2020-06-26 13:00:00,35.71
2020-06-26 13:30:00,35.71
2020-06-26 14:00:00,35.71
2020-06-26 14:30:00,35.71
2020-06-26 15:00:00,35.71
2020-06-26 15:30:00,35.71
2020-06-26 16:00:00,33.13
2020-06-29 09:30:00,33.13
2020-06-29 10:00:00,33.13
2020-06-29 10:30:00,33.13
2020-06-29 11:00:00,33.13
2020-06-29 11:30:00,33.13
2020-06-29 12:00:00,33.13
2020-06-29 12:30:00,33.13
2020-06-29 13:00:00,33.13
2020-06-29 13:30:00,33.13
2020-06-29 14:00:00,33.13
2020-06-29 14:30:00,33.13
2020-06-29 15:00:00,33.13
2020-06-29 15:30:00,33.13
2020-06-29 16:00:00,31.14
2020-06-30 09:30:00,31.14
2020-06-30 10:00:00,31.14
2020-06-30 10:30:00,31.14
2020-06-30 11:00:00,31.14
2020-06-30 11:30:00,31.14
2020-06-30 12:00:00,31.14
2020-06-30 12:30:00,31.14
2020-06-30 13:00:00,31.14
2020-06-30 13:30:00,31.14
2020-06-30 14:00:00,31.14
2020-06-30 14:30:00,31.14
2020-06-30 15:00:00,31.14
2020-06-30 15:30:00,31.14
2020-06-30 16:00:00,30.81
2020-07-01 09:30:00,30.81
2020-07-01 10:00:00,30.81
2020-07-01 10:30:00,30.81
2020-07-01 11:00:00,30.81
2020-07-01 11:30:00,30.81
2020-07-01 12:00:00,30.81
2020-07-01 12:30:00,30.81
2020-07-01 13:00:00,30.81
2020-07-01 13:30:00,30.81
2020-07-01 14:00:00,30.81
2020-07-01 14:30:00,30.81
2020-07-01 15:00:00,30.81
